id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
370,S Draschba;J Patzold;G Wefer,2000,North Atlantic climate variability since AD 1350 recorded in d18O and skeletal density of Bermuda corals,paper,"",International Journal of Earth Sciences,"","",14,,
371,M.L Ebeid;M.H Hassan;Y.A Geneid,2009,Response to increased sediment load by three coral species in the Gulf of Suez (Red Sea),paper,"",Journal of Fisheries and Aquatic Sciences,"","",14,,
372,EDGE,0,EDGE: Evolutionarily Distinct and Globally Endangered. ,paper,"",http://www.edgeofexistence.org/coral_reef/top_50.php,"","",14,,
373,E.N Edinger;G.V Limmon;J Jompa;W Widjatmoko;J.M Heikoop;M.J Risk,2000,Normal coral growth rates on dying reefs: are coral growth rates good indicators of reef health?,paper,"",Marine Pollution Bulletin,"","",14,,
374,Edmunds PJ,2010,Population biology of Porites astreoides and Diploria strigosa on a shallow Caribbean reef,paper,"",Marine Ecology Progress Series,"","",14,,2014-02-21 08:22:05 UTC
375,E. M Elizalde-Rendãn;G Horta-Puga;P Gonzölez-Diaz;J. P Carricart-Ganivet,2010,Growth characteristics of the reef-building coral Porites astreoides under different environmental conditions in the Western Atlantic,paper,"",Coral Reefs,"","",14,,
376,R Endean;A.M Cameron;H.E Fox;R Tilbury;L Gunthorpe,1997,Massive corals are regularly spaced: pattern in a complex assemblage of corals,paper,"",Marine Ecology Progress Series,"","",14,,
377,T.-Y Fan;C.-F Dai,1998,Sexual reproduction of the Scleractinian coral Merulina ampliata in southern Taiwan,paper,"",Bulletin of Marine Science,"","",14,,
378,Sebastian Ferse;Andreas Kunzmann,2009,Effects of concrete-bamboo cages on coral fragments: evaluation of a low-tech method used in artisanal ocean-based coral farming,paper,"",Journal of Applied Aquaculture,"","",14,,
379,Z.H Forsman;C Birkeland,2009,"Porites randalli: A new coral species (Scleractinia, Poritidae) from American Samoa",paper,"",Zootaxa,"","",14,,
380,D Gateno;A Leon;Y Bari;J Cortes;Rinkevich B,2003,Skeletal tumor formations in the massive coral Pavona clavus,paper,"",Marine Ecology Progress Series,"","",14,,
381,Jamesp Gilmour,2004,Size-structures of populations of the mushroom coral Fungia fungites: the role of disturbance,paper,"",Coral Reefs,"","",14,,
382,P.W Glynn;S.B Colley;C.M Eakin;D.B Smith;J Cortes;N.J Gassman;H.M Guzman;J.B DelRosario;J.S Feingold,1994,Reproductive ecology of the azooxanthellate coral Tubastraea coccinea in the equatorial Eastern Pacific: V Dendrophylliidae.,paper,"",Marine Biology,"","",14,,
383,P.W Glynn;S.B Colley;N.J Gassman;K Black;J Cort_s;J.L Mat_,1996,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador). III Agariciidae.",paper,"",Marine Biology,"","",14,,
384,P. W Glynn;S. B Colley;J. L Mat_;J Cort_s;H. M Guzman;R. L Bailey;J. S Feingold;I. C Enochs,2008,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador) II Poritidae.",paper,"",Marine Biology,"","",14,,
385,A.G Grottoli,1999,"Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii",paper,"",Marine Biology,"","",14,,
386,H M Guzman;A.W Tudhope,1998,Seasonal variation in skeletal extension rate and stable isotopic (12C/12C and 18O/16O) composition in response to several environmental variables in the Caribbean reef coral Siderastrea siderea,paper,"",Marine Ecology Progress Series,"","",14,,
387,H M Guzman;I Holst,1993,Effects of chronic oil-sediment pollution on the reproduction of the Caribbean reef coral Siderastrea siderea,paper,"",Marine Pollution Bulletin,"","",14,,
388,H.M Guzman;J Cortes,1989,Growth rates of eight species of scleractinian corals in the eastern Pacific (Costa Rica),paper,"",Bulletin of Marine Science,"","",14,,
389,B Guzner;A Novoplansky;N.E Chadwick,2007,Population dynamics of the reef-building coral Acropora hemprichii as an indicator of reef condition,paper,"",Marine Ecology Progress Series,"","",14,,
390,V.R Hall;T.P Hughes,1996,Reproductive strategies of modular organisms: comparative studies of reef-building corals,paper,"",Ecology,"","",14,,
391,V.J Harriott,1983,"Reproductive ecology of four Scleractinian species at Lizard Island, Great Barrier Reef",paper,"",Coral Reefs,"","",14,,
392,Stephen Head,1983,An undescribed species of Merulina and a new genus and species of siderastreid coral from the Red Sea,paper,"",Journal of Natural History,"","",14,,
393,G.A Heiss,1995,"Carbonate production by scleractinian corals at Aqaba, Gulf of Aqaba, Red Sea",paper,"",Facies,"","",14,,
394,Kevin P Helmle;Richard E Dodge;Peter K Swart;Dwight K Gledhill;C Mark Eakin,2011,Growth rates of Florida corals from 1937 to 1996 and their response to climate change,paper,"",Nature Communications,"","",14,,
395,R.C Highsmith,1981,Coral bioerosion: damage relative to skeletal density,paper,"",American Naturalist,"","",14,,
396,R.C Highsmith,1979,Coral growth rates and environmental control of density banding,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
397,J.H. Hudson;W.B. Goodwin,1997,"Restoration and growth rate of hurricane damaged pillar coral (Dendrogyra cylindrus) in the Key Largo National Marine Sanctuary, Florida",paper,"",Proceedings of the 8th International Coral Reef Symposium,"","",14,,
398,P. Humann;N. DeLoach,2002,"Reef Coral Identification: Florida, Caribbean, Bahamas",paper,"",BOOK,"","",14,,
399,M Huston,1985,"Variation in coral growth rates with depth at Discovery Bay, Jamaica",paper,"",Coral Reefs,"","",14,,
400,C Jim_nez;J Cort_s,2003,"Growth of seven species of scleractinian corals in an upwelling environment of the eastern Pacific (Golfo de Papagayo, Costa Rica)",paper,"",Bulletin of Marine Science,"","",14,,
401,Jean C Kenyon,2008,"Acropora (Anthozoa: Scleractinia) reproductive synchrony and spawning phenology in the Northern Line Islands, Central Pacific, as inferred from size classes of developing oocytes",paper,"",Pacific Science,"","",14,,
402,R Klein;Y Loya,1991,"Skeletal growth and density patterns of two Porites corals from the Gulf of Eilat, Red Sea",paper,"",Marine Ecology Progress Series,"","",14,,
403,L Knittweis;J Jompa;C Richter;M Wolff,2009,"Population dynamics of the mushroom coral Heliofungiaë_actiniformis in the Spermonde Archipelago, South Sulawesi, Indonesia",paper,"",Coral Reefs,"","",14,,
404,A Kruger;M.H Schleyer,1998,"Sexual reproduction in the coral Pocillopora verrucosa (Cnidaria: Scleractinia) in KwaZulu-Natal, South Africa",paper,"",Marine Biology,"","",14,,
405,K.K.Y Lam,2000,Coral transplantation onto a stabilised puverised ash substratum,paper,"",Asian Marine Biology,"","",14,,
406,T Liberman;A Genin;Y Loya,1995,Effects on growth and reproduction of the coral Stylophora pistillata by the mutualistic damselfish Dascyllus marginatus,paper,"",Marine Biology,"","",14,,
407,M.M. Lins de Barros;D. de Oliveira Pires;C.B. Castro,2003,"Sexual reproduction of the Brazilian reef coral Siderastrea stellata Verrill 1868 (Anthozoa, Scleractinia)",paper,"",Bulletin of Marine Science,"","",14,,
408,A Logan;T Tomascik,1991,Extension growth rates in two coral species from high-latitude reefs of Bermuda,paper,"",Coral Reefs,"","",14,,
409,S. Mangubhai,2009,Reproductive ecology of the scleractinian corals Echinopora gemmacea and Leptoria phrygia (Faviidae) on equatorial reefs in Kenya,paper,"",Invertebrate Reproduction and Development,"","",14,,
410,S Mangubhai;P.L Harrison,2008,"Gametogenesis, spawning and fecundity of Platygyra daedalea (Scleractinia) on equatorial reefs in Kenya",paper,"",Coral Reefs,"","",14,,
411,D. P Manzello,2010,Coral growth with thermal stress and ocean acidification: lessons from the eastern tropical Pacific,paper,"",Coral Reefs,"","",14,,
412,MarinePortal,0,Marine Species Identification Portal.,paper,"","","","",14,,
413,P.A Marshall,2000,Skeletal damage in reef corals: relating resistance to colony morphology,paper,"",Marine Ecology Progress Series,"","",14,,
414,D.'A Martin;A Le Tissier,1988,The growth and formation of branch tips of Pocillopora damicornis (Linnaeus),paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
415,T Mass;A Genin,2008,Environmental versus intrinsic determination of colony symmetry in the coral Pocillopora verrucosa,paper,"",Marine Ecology Progress Series,"","",14,,
416,T. R McClanahan;M Ateweberhan;J Omukoto,2008,Long-term changes in coral colony size distributions on Kenyan reefs under different management regimes and across the 1998 bleaching event,paper,"",Mar Biol,"","",14,,
417,E.H Meesters;M Hilterman;E Kardinaal;M Keetman;M de Vries;R.P.M Bak,2001,Colony size-frequency distributions of scleractinian coral populations: spatial and interspecific variation,paper,"",Marine Ecology Progress Series,"","",14,,
418,J Mendes,2004,Timing of skeletal band formation in Montastraea annularis: Relationship to environmental and endogenous factors,paper,"",Bulletin of Marine Science,"","",14,,
419,J.M Mendes;J.D Woodley,2002,"Effect of the 1995-1996 bleaching event on polyp tissue depth, growth, reproduction and skeletal band formation in Montastraea annularis",paper,"",Marine Ecology Progress Series,"","",14,,
420,K Miller,1994,Morphological variation in the coral genus Platygyra: environmental influences and taxonomic implications,paper,"",Marine Ecology Progress Series,"","",14,,
421,T Mitsuguchi;E Matsumoto;T Uchida,2003,Mg/Ca and Sr/Ca ratios of Porites coral skeleton: evaluation of the effect of skeletal growth rate,paper,"",Coral Reefs,"","",14,,
422,"Moore, W. S., & Krishnaswami, S.",1972,Coral growth rates using 228Ra and 210Pb,paper,"","Earth and Planetary Science Letters,Ê15, 187.","","",14,,
423,E Neves;R Johnsson,2009,"Taxonomic revision of the southwestern Atlantic Madracis and the description of Madracis fragilis n. sp. (Scleractinia: Pocilloporidae), a new coral species from Brazil",paper,"",Scientia Marina,"","",14,,
424,NMiTA,0,NMiTA: Neogene Marine Biota of Tropical America,paper,"",http://eusmilia.geology.uiowa.edu/,"","",14,,
425,S.S Oigman-Pszczol;J.C Creed,2004,"Size structure and spatial distribution of the corals Mussismilia hispida and Siderastrea stellata (Scleractinia) at ArmaÕ_Õ£o dos BÕ_zios, Brazil",paper,"",Bullletin of Marine Science,"","",14,,
426,R.H Randall;R.F Myers,1983,Guide to the Coastal Resources of Guam: Volume II The Corals,paper,"",BOOK,"","",14,,
427,Laurie Raymundo,2001,Mediation of growth by conspecific neighbors and the effect of site in transplanted fragments of the coral Porites attenuata Nemenzo in the central Philippines,paper,"",Coral Reefs,"","",14,,
428,L.L Richardson;J.D Voss,2005,Changes in a coral population on reefs of the northern Florida Keys following a coral disease epizootic,paper,"",Marine Ecology Progress Series,"","",14,,
429,R.H Richmond,1987,"Energetic relationships and biogeographical differences among fecundity, growth and reproduction in the reef coral Pocillopora damicornis",paper,"",Bulletin of Marine Science,"","",14,,
430,Ku'ulei Rodgers;Evelyn Cox;Craig Newtson,2003,Effects of mechanical fracturing and experimental trampling on Hawaiian corals,paper,"",Environmental Management,"","",14,,
431,S.L Romano,1990,Long-term effects of interspecific aggression on growth of the reef-building corals Cyphastrea ocellina (Dana) and Pocillopora damicomis (Linnaeus),paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
432,Casey Saenger;Anne L Cohen;Delia W Oppo;Dennis Hubbard,2008,Interpreting sea surface temperature from strontium/calcium ratios in Montastrea corals: link with growth rate and implications for proxy reconstructions,paper,"",Paleoceanography,"","",14,,
433,Mathieu G S_r_;Lola M Mass_;R Perissinotto;Michael H Schleyer,2010,Influence of heterotrophic feeding on the sexual reproduction of Pocillopora verrucosa in aquaria,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
434,C.J.S Sier;P.J.W Olive,1994,Reproduction and reproductive variability in the coral Pocillopora verrucosa from the Republic of Maldives,paper,"",Marine Biology,"","",14,,
435,L. W Smith;D Barshis;C Birkeland,2007,"Phenotypic plasticity for skeletal growth, density and calcification of Porites lobata in response to habitat type",paper,"",Coral Reefs,"","",14,,
436,K Soong,1993,Colony size as a species character in massive reef corals,paper,"",Coral Reefs,"","",14,,
437,J.E Tanner,1997,Interspecific competition reduces fitness in scleractinian corals,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
438,J. T. I Tanzil;B. E Brown;A. W Tudhope;R. P Dunne,2009,"Decline in skeletal growth of the coral Poritesë_lutea from the Andaman Sea, South Thailand between 1984 and 2005",paper,"",Coral Reefs,"","",14,,
439,T Tomascik;F Sander,1985,Effects of eutrophication on reef-building corals I. Growth rate of the reef-building coral Montastrea annularis,paper,"",Marine Biology,"","",14,,
440,J.L Torres;R.A Armstrong;J.E Corredor;F Gilbes,2007,Physiological responses of Acropora cervicornis to increased solar irradiance,paper,"",Photochemistry and Photobiology,"","",14,,
441,L.R Tortora;D.E Keith,1980,"Scleractinian corals of the Swan islands, Honduras",paper,"",Caribbean Journal of Science,"","",14,,
442,G.W.N.M Van Moorsel,1983,"Reproductive strategies in two closely related stony corals (Agaricia, Scleractinia)",paper,"",Marine Ecology Progress Series,"","",14,,
443,M.J.A Vermeij;R.P.M Bak,2003,Species-specific population structure of closely related coral morphospecies along a depth gradient (5-60 m) over a Caribbean reef slope,paper,"",Bulletin of Marine Science,"","",14,,
445,J. E. N. Veron;M. Pichon,1976,Scleractinia of Eastern Australia.,paper,"",BOOK,"","",14,,
446,J.T Villinski,2003,Depth-independent reproductive characteristics for the Caribbean reef-building coral Montastraea faveolata,paper,"",Marine Biology,"","",14,,
447,S Ward,1995,"Two patterns of energy allocation for growth, reproduction and lipid storage in the scleractinian coral Pocillopora damicornis",paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
448,S Ward,1995,"The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Pocillopora damicornis (Linnaeus)",paper,"",Coral Reefs,"","",14,,
449,S Ward;P Harrison,2000,Changes in gametogenesis and fecundity of acroporid corals that were exposed to elevated nitrogen and phosphorus during the ENCORE experiment,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
450,T Watanabe;M.K Gagan;T Corre_ge;H Scott-Gagan;J Cowley;W.S Hantoro,2003,Oxygen isotope systematics in Diploastrea heliopora: new coral archive of tropical paleoclimate,paper,"",Geochimica et Cosmochimica Acta,"","",14,,
451,E Weil;A Crãquer;I Urreiztieta,2009,Comparative aspects of sexual reproduction in the caribbean coral genus Diploria (Scleractinia: Faviidae),paper,"",Diseases of Aquatic Organisms,"","",14,,
452,E Weil;N Knowlton,1994,"Yellow band disease compromises the reproductive output of the Caribbean reef-building coral Montastraea faveolata (Anthozoa, Scleractinia)",paper,"",Bulletin of Marine Science,"","",14,,
453,E Weil;W.L Vargas,2010,"A multi-character analysis of the Caribbean coral Montastrea annularis (Ellis and Solander, 1786) and its two sibling species, M. faveolata (Ellis and Solander, 1786) and M. franksi (Gregory, 1895)",paper,"",Marine Biology,"","",14,,
454,G.M Wellington;P.W Glynn,1983,Environmental influences on skeletal banding in eastern Pacific (Panama) corals,paper,"",Coral Reefs,"","",14,,
455,H.T Yap;E.D Gomez,1985,Growth of Acropora pulchra III. Preliminary observations on the effects of transplantation and sediment on the growth and survival of transplants,paper,"",Marine Biology,"","",14,,
456,T.R. McClanahan ,0,"",paper,"","Coral Reef Conservation Project, Wildlife Conservation Society (contact: tmclanahan@wcs.org)","","",14,,
457,"Rinkevich, B., & Loya, Y.",1987,"Variability in the pattern of sexual reproduction of the coral Stylophora pistillata at Eilat, Red Sea: a long-term study. ",paper,"","The Biological Bulletin, 173(2), 335-344","","",14,,
458,"Shaish, L., Levy, G., Katzir, G., & Rinkevich, B.",2010,"Employing a highly fragmented, weedy coral species in reef restoration.",paper,"","Ecological Engineering,36(10), 1424-1432.","","",14,,
459,"Soong, K.¾",1991,Sexual reproductive patterns of shallow-water reef corals in Panama.,paper,"","Bulletin of Marine Science,¾49(3), 832-846.","","",14,,
460,"Suresh, V. R., & Mathew, K. J.¾",1993,Skeletal extension of staghorn coral Acropora formosa in relation to environment at Kavaratti atoll (Lakshadweep).,paper,"","Indian journal of marine sciences,¾22(3), 176-179.","","",14,,
461,"Schneider, K. and Erez, J. ",2006,. The effect of carbonate chemistry on calcifiction and photosynthesis in the hermatypic coral Acropora eurystoma. Limnology and Oceanography 51:,paper,"","","","",15,,
462,"Muehllehner, N., (",2008,"). Growth and morphology in Acropora under increasing carbon dioxide and the effect of increased temperature and carbon dioxide on the photosynthesis and growth of Porites rus and Pocillopora meandrina. Thesis California State University, Northridge 98pp",paper,"","","","",15,,
463,"Chauvin, A., Denis, V., and Cuet, P. ",2011,. Is the response of coral calcification to seawater acidification related to nutrient loading? Coral Reefs 30:911-923.,paper,"","","","",15,,
464,"Herfort, L., Thake, B., and Turner, I. ",2008,. Bicarbonate stimulation of calcification and photosynthesis in two hermatypic corals. Journal of Phycology 44:91-98.,paper,"","","","",15,,
465,"Gattuso, J.-P., Frankignoulle, M., Romaine, S., Buddemeier, R.W. ",1998,. Effect of calcium carbonate saturation of seawater on coral calcification. Global and Planetary Change 18:37-46.,paper,"","","","",15,,
466,Anthony K.R.N. and Fabricius K.E. (,2000,) Shifting roles of heterotrophy and autotrophy in coral energetics uncer varying turbidity. Journal of Experimental Marine Biology and Ecology 252:221-253.,paper,"","","","",15,,
467,"Maurbini, F. and P.S. Davies. (",1996,) Nitrate increases zooxanthellae population density and reduces skeletogenesis in corals. Marine Biology. 127:319-328,paper,"","","","",15,,
468,"Cox, W.W. ",1971,. The relation of temperature to calcificaton in Montipora verrucosa. Thesis Loma Linda University 29 pp,paper,"","","","",15,,
469,Edmunds. P.J. (,2005,) The effect of sub-lethal increases in temperature on the growth and population trajectories of three scleractinian corals on the southern Great Barrier Reef. Oecologia 146:350-364,paper,"","","","",15,,
470,"Clausen, C.D. and Roth A.A. (",1975,) Effect of temperature and temperature adaptation on calcification rate in the hermatypic coral Pocillopora damicornis. Marine Biology 33:93-100,paper,"","","","",15,,
471,"Davies, P.S. (",1984,) The role of zooxanthellae in the nutritional energy requirements of Pocillopora eyedouxi. Coral Reefs 2:181-186,paper,"","","","",15,,
472,"Marubini, F., H. Barnett, C. Langdon, and M.J. Atkinson. ",2001,. Dependence of calcification on light and carbonate ion concentration for the hermatypic coral Porites compressa. MEPS 220:153-162,paper,"","","","",15,,
473,"Smith, L.W., D. Barshis, and C. Birkeland. ",2007,". Phenotypic plasticity for skeletal growth, density, and calcification of Porites lobata in response to habitat type. Coral Reefs 36:559-567",paper,"","","","",15,,
474,"Ohde S, Hossain MMM (",2004,") Effect of CaCO3 (aragonite) saturation state of seawater on calcification of Porites coral.  Geochemical Journal, 38, 613-621.",paper,"","","","",15,,
475,"Hossain MMM, Ohde S (",2006,) Calcification of cultured Porites and Fungia under different aragonite saturation states of seawater.  Proceedings of the 10th International Coral Reef Symposium 597-606.,paper,"","","","",15,,
476,"Edmunds PJ, Brown D, Moriarty V (",2012,") Interactive effects of ocean acidification and temperature on two scleractinian corals from Moorea, French Polynesia.  Global Change Biology.",paper,"","","","",15,,
477,"Scoffin T.P., Tudhope A.W., Brown B.E., Chansang H., and Cheeny R.F. (",1992,") Patterns and possible environmental controls of skeletogenesis of Porites lutea, South Thailand. Coral Reefs 11:1-11",paper,"","","","",15,,
478,Tanzil J.T.L. Brown B.E. Tudhope A.W. Dunne R.P. (,2009,") Decline in skeletal growth of the coral Porites lutea from the Adaman Sea, South Thailand between ",paper,"","","","",15,,
479,"Herfort L, Thake B, Taubner I (",2008,") Bicarbonate stimulation of calcification and photosynthesis in two hermatypic corals.  Journal of Phycology, 44, 91-98.",paper,"","","","",15,,
480,"Marubini, F. and B. Thake. ",1999,. Bicarbonate addition promotes coral growth. Limnology and Oceanography 44:716-720,paper,"","","","",15,,
481,"Marubini, F. and P.S. Davies. (",1996,) Nitrate increases zooxanthellae population density and reduces skeletogenesis in corals. Marine Biology. 127:319-328,paper,"","","","",15,,
482,Horst GP (,2004,") Effects of temperature and CO2 variation on calcification and photosynthesis of two branching reef corals.  Unpublished MS thesis, California State University, Northridge. ",paper,"","","","",15,,
483,"Edmunds, P. J. (",2012,"). Effect of pCO 2 on the growth, respiration, and photophysiology of massive Porites spp. in Moorea, French Polynesia. Marine Biology, 1-12.",paper,"","","","",15,,
484,"Fitt. W.K., McFarland F.K., Warner M.E., and Chilcoat G.E. (",2000,) Seasonal patterns of tissue biomass and densities of symbiotic dinoflagellates in reef corals and relation to coral bleaching. Limnology and Oceanography. 45:677-685,paper,"","","","",15,,
485,"Harithsa S., Raghukumar C. and Dalal G.G. (",2005,) Stress response of two coral species in the Kavaratti atoll of the Lakshadweep Archipelago India Coral Reefs 24:463-475,paper,"","","","",15,,
486,"Haramaty L., Achituv Y., and Dubinsky Z. (",1997,) Morphology photoadaptation and autotrophy in hermatypic corals. Proc 8th ICRS Panama 1:855-860 ,paper,"","","","",15,,
487,"Brown B.E., Dunne R.P., Ambarsari I., Le Tissier M.D.A, Satapoomin U. (",1999,) Seasonal fluctuations in environmental factors and variations in symbiotic algae and chlorophyll pigments in four Indo-Pacific coral species. MEPS 191:52-69,paper,"","","","",15,,
488,Le Tissier M. and Brown B.E. (,1996,) Dynamics of solar bleaching in the intertidal reef coral Goniastrea aspera at KO Phuket Thailand. MEPS 136:235-244,paper,"","","","",15,,
489,"Szmant AM, Gassman NJ",1990,The effects of prolonged bleaching on the tissue biomass and reproduction of the reef coral Montastrea annularis,paper,http://link.springer.com/article/10.1007/BF00265014,Coral Reefs,"8, 217-224","",15,,2014-02-27 23:41:08 UTC
490,Fitt W.K. and Warner M.E. (,1995,) Bleaching patterns of four species of Caribbean reef corals. Biol Bull 189:289-307,paper,"","","","",15,,
491,"Warner M.E., Fitt W.K., and G.W. Schmidt G.W. (",1996,) The effects of elevated temperature on photosynthetic efficiency of zooxanthellae in hospite from four different species of reef coral: a novel approach. Plant Cell and Environment 19:291-300,paper,"","","","",15,,
492,"Patterson, M.R., Sebens K.P., and Olson R.R. (",1991,) In situ measurements of flow effects on primary production and dark respiration in reef corals. Limnology and Oceanography 36:936-948,paper,"","","","",15,,
493,Fitt W.K. and Warner M.E (,1995,) Bleaching patterns of four species of Caribbean reef corals. Biol Bull 189:289-308,paper,"","","","",15,,
494,"Venn A.A.,Wilson MA, Trapido-Rosenthal H.G., Keely B.J., and Douglas  A.E (",2006,) The impact of coral bleaching on the pigment profile of the symbitic alga Symbiodinium. Plant Cell and Environment 29:,paper,"","","","",15,,
495,"Quan-Young, L. I., and Espinoza-Avalos, J. (",2006,"). Reduction of zooxanthellae density, chlorophyll a concentration, and tissue thickness of the coral Montastrea faveolata (Scleractinia) when competing with mixed turf algae. Limnology and Oceanography, 51:",paper,"","","","",15,,
496,"Edmunds PJ, Gates RD, Gleason DF",2003,The tissue composition of Montastrea franksi during a natural bleaching event in the Florida Keys,paper,http://link.springer.com/article/10.1007%2Fs00338-003-0278-5,Coral Reefs,"22, 54-62","",15,,2014-02-28 00:08:53 UTC
497,Rodrigues L.J. and Grottoli A.G. (,2007,) Energy reserves and metabolism as indicators of coral recovery from bleaching. Limnology and Oceanography.52(5):,paper,"","","","",15,,
498,"Grottoli A.G., Rodrigues L.J., and Palardy J.E. (",2006,) Heterotrophic plasticity and resilience in bleached corals. Nature. 440:,paper,"","","","",15,,
499,Grottoli-Everett A.G. (,1995,) Bleaching and lipids in the Pacific coral Montipora verrucosa. In Ultraviolet Radiation & Coral Reefs. [eds: Gulko D Jokiel PL] HIMB Tech. Report #41: 107-113.,paper,"","","","",15,,
500,Coles S.L. and  Jokiel P.L. (,1978,) Symergisitic effects of temperature salinity and light on the hermatypic coral Montipora verrucosa. Marine Biology 49:187-195,paper,"","","","",15,,
501,"Saxby T., Dennison W.C. and Hoegh-Guldberg O. (",2003,) Photosynthetic responses of the coral Montopora digitata to cold temperature stress. MEPS 248:85-97,paper,"","","","",15,,
502,Anthony K.R.N and Hoegh-Guldberg O. (,2003,) Variation in coral photosynthesis respiration and growth characteristics in contrasting light microhabitats:an analogue to plants in forest gaps and understoreys? Functional Ecology 17:246-259,paper,"","","","",15,,
503,"D'Croz L, Mate JL",2004,Experimental responses to elevated water temperature in genotypes of the reef coral Pocillopora damicornis from upwelling and non-upwelling environments in Panama,paper,http://link.springer.com/article/10.1007%2Fs00338-004-0397-7,Coral Reefs,"23, 473-483","",15,,2014-02-27 23:00:54 UTC
504,Schloder C. and D'Croz L. (,2004,) Responses of massive and branching coral species to the combined effects of water temperature and nitrate enrichment. JEMBE 313:255-268,paper,"","","","",15,,
505,"Glynn P.W., Mate J.L., Baker A.C., and Calderon M.O. (",2001,) Coral bleaching and mortality in panama and ecuador during the ,paper,"","","","",15,,
506,"Iguchi A., Ozaki, S., Nakamura T., Inoue M., Tanaka Y., Suzuki A., Kawahata H., Sakai K. (",2012,) Effects of acidified seawater on coral calcification and symbiotic algae on the massive coral Porites australiensis. Marine Environmental Research 73:32-36,paper,"","","","",15,,
507,"Rex A., Montebon F., Yap H.T. (",1995,) Metabolic responses of the scleractinian coral Porites cylindrica Dana to water motion. I. Oxygen flux studies. JEMBE 186:33-52,paper,"","","","",15,,
508,"D'Croz L.D., Mate J.L., and Oke J.E. (",2001,) Responses to elevated seawater temperature and UV radiation in the coral Porites lobata from upwelling and non-upwelling environments on the Pacific coast of Panama. BMS 69:203-214,paper,"","","","",15,,
509,"Ralph P.J., Larkum A.W.D., and Kuhl M. (",2007,") Photobiology of endolithic microorganisms in livign coral skeletons: 1. Pigmentation, spectral reflectance and variable chlorophyll fluorescence analysis of endoliths in the massive corals Cyphastrea serailia, Porites lutea and Goniastrea australensis. Marine Biology 152:395-404",paper,"","","","",15,,
510,Brown B.E. R.P. Dunne I. Ambarsari M.D.A. Le Tissier U. Satapoomin. ,1999,. Seasonal fluctuations in environmental factors and variations in symbiotic algae and chlorophyll pigments in four Indo-Pacific coral species. MEPS 191:52-69,paper,"","","","",15,,
511,"Roder C., Jantzen C., Schmidt G.M., Kattner G., Phongsuwan N., and Richter C. (",2011,) Metabolic plasticity of the corals Porites lutea and Diploastrea heliopora exposed to large amplitude internal waves. Coral Reefs 30:57-69,paper,"","","","",15,,
512,"Gladfelter E.H., Manahan R.K. and Gladfelter W.B. (",1978,) Growth rates of five reef-building corals in the Northeastern Caribbean. Bulletin of Marine Science 28:728-734 ,paper,"","","","",15,,
513,Gladfelter ,1984,"",paper,"","","","",15,,
514,"Charuchinda, M., & Hylleberg, J. (",1984,"). Skeletal extension of Acropora formosa at a fringing reef in the Andaman Sea. Coral Reefs, 3(4), 215-219.",paper,"","","","",15,,
515,"Crabbe, M. J. C., & Smith, D. J. (",2005,"). Sediment impacts on growth rates of Acropora and Porites corals from fringing reefs of Sulawesi, Indonesia. Coral Reefs, 24(3), 437-441.",paper,"","","","",15,,
516,Babcock R.C. (,1991,) Comparative demography of three species of scleractinian corals using age- and size- dependent classifications. Ecological Monographs 62:225-244.,paper,"","","","",15,,
517,"Buddemeier, R. W., Maragos, J. E., & Knutson, D. W. (",1974,"). Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. Journal of Experimental Marine Biology and Ecology, 14(2), 179-199.",paper,"","","","",15,,
518,"Highsmith, R. C. (",1979,"). Coral growth rates and environmental control of density banding. Journal of Experimental Marine Biology and Ecology, 37(2), 105-125.",paper,"","","","",15,,
519,"Jokiel, P. L., Rodgers, K. S., Kuffner, I. B., Andersson, A. J., Cox, E. F., & Mackenzie, F. T. (",2008,"). Ocean acidification and calcifying reef organisms: a mesocosm investigation. Coral Reefs, 27(3), 473-483.",paper,"","","","",15,,
520,"Hudson, J. H. (",1981,"). Growth rates in Montastrea annularis: a record of environmental change in Key Largo Coral Reef Marine Sanctuary, Florida. Bulletin of Marine Science, 31(2), 444-459.",paper,"","","","",15,,
521,"Dustan, P. (",1975,"). Growth and form in the reef-building coral Montastrea annularis. Marine Biology, 33(2), 101-107.",paper,"","","","",15,,
522,"Cruz-Pin, G., Carricart-Ganivet, J. P., & Espinoza-Avalos, J. (",2003,"). Monthly skeletal extension rates of the hermatypic corals Montastrea annularis and Montastrea faveolata: biological and environmental controls. Marine Biology, 143(3), 491-500.",paper,"","","","",15,,
